n1,n2,weight
Bias,Reagan1984Hard,-3.01257999
Reagan1984Hard,Reagan1984Hard,0
Reagan1984Decent,Reagan1984Hard,0.437370972
Reagan1984Comp,Reagan1984Hard,0.376655767
Reagan1984Respect,Reagan1984Hard,0.958885481
Reagan1984Int,Reagan1984Hard,0
Reagan1984Moral,Reagan1984Hard,0
Reagan1984Kind,Reagan1984Hard,0
Reagan1984Insp,Reagan1984Hard,0
Reagan1984Know,Reagan1984Hard,0.245646485
Reagan1984Example,Reagan1984Hard,0
Reagan1984Cares,Reagan1984Hard,0.681323226
Reagan1984Lead,Reagan1984Hard,0.962974164
Reagan1984Und,Reagan1984Hard,-0.08759992
Reagan1984Fair,Reagan1984Hard,0
Reagan1984Touch,Reagan1984Hard,-0.33654293
Reagan1984Angry,Reagan1984Hard,0.340899951
Reagan1984Hope,Reagan1984Hard,0
Reagan1984Afr,Reagan1984Hard,0.317641761
Reagan1984Prou,Reagan1984Hard,0.486225933
Reagan1984Disg,Reagan1984Hard,0
Reagan1984Symp,Reagan1984Hard,0
Reagan1984Uneasy,Reagan1984Hard,1.072621268
Bias,Reagan1984Decent,-2.458345402
Reagan1984Hard,Reagan1984Decent,0.437370972
Reagan1984Decent,Reagan1984Decent,0
Reagan1984Comp,Reagan1984Decent,0.89327438
Reagan1984Respect,Reagan1984Decent,0.77401471
Reagan1984Int,Reagan1984Decent,0.225438913
Reagan1984Moral,Reagan1984Decent,0.351930833
Reagan1984Kind,Reagan1984Decent,0
Reagan1984Insp,Reagan1984Decent,-0.235580361
Reagan1984Know,Reagan1984Decent,0.458170182
Reagan1984Example,Reagan1984Decent,-0.393996859
Reagan1984Cares,Reagan1984Decent,0.185495311
Reagan1984Lead,Reagan1984Decent,0.574153713
Reagan1984Und,Reagan1984Decent,-0.419429511
Reagan1984Fair,Reagan1984Decent,0
Reagan1984Touch,Reagan1984Decent,0
Reagan1984Angry,Reagan1984Decent,0.141936715
Reagan1984Hope,Reagan1984Decent,0.565226449
Reagan1984Afr,Reagan1984Decent,0.089364252
Reagan1984Prou,Reagan1984Decent,0.263916705
Reagan1984Disg,Reagan1984Decent,0.44153905
Reagan1984Symp,Reagan1984Decent,0.448543852
Reagan1984Uneasy,Reagan1984Decent,0.106488043
Bias,Reagan1984Comp,-4.781867883
Reagan1984Hard,Reagan1984Comp,0.376655767
Reagan1984Decent,Reagan1984Comp,0.89327438
Reagan1984Comp,Reagan1984Comp,0
Reagan1984Respect,Reagan1984Comp,0
